,sub_id,sub_name,line,longtitude,latitude,bike_id
196,2823,남한산성입구(성남법원.검찰청)역,8호선,127.159816,37.451535,[]
197,2822,산성역,8호선,127.149908,37.457122,[]
198,2821,복정역,8호선,127.126732,37.471052,"[2605, 2607]"
199,2820,장지역,8호선,127.126191,37.478703,"[1217, 1244, 1245, 1246, 1247, 2603, 4465, 4475, 4488, 4491, 4852, 4885]"
200,2819,문정역,8호선,127.1225,37.485855,"[1242, 1243, 1244, 1265, 2615, 2628, 4460, 4465, 4478]"
201,2818,가락시장역,8호선,127.118398,37.492888,"[1201, 1203, 1257, 2658, 4480, 4854]"
202,2817,송파역,8호선,127.112183,37.499703,"[1212, 4468, 4864]"
203,2816,석촌역,8호선,127.106832,37.505557,"[1251, 1262, 1296, 1297, 2623, 2639]"
204,2815,잠실(송파구청)역,8호선,127.104338,37.514692,"[1210, 1211, 1231, 1278, 1295, 2608, 2647, 4452, 4486]"
205,2814,몽촌토성(평화의문)역,8호선,127.112359,37.517409,"[1226, 1268, 2621, 4496, 4856, 4865, 4870]"
206,2813,강동구청역,8호선,127.120508,37.530341,"[1013, 1024, 1028, 1030, 1088, 1208, 1274, 2638]"
207,2812,천호(풍납토성)역,8호선,127.123254,37.538113,"[1001, 1009, 1012, 1029, 1080, 1264, 3657]"
208,2811,암사역,8호선,127.127562,37.55021,"[1004, 1008]"
209,2761,부평구청역,7호선,126.721599,37.507394,[]
210,2760,굴포천역,7호선,126.73128,37.506997,[]
211,2759,삼산체육관역,7호선,126.742153,37.506411,[]
212,2758,상동역,7호선,126.753083,37.505781,[]
213,2757,부천시청역,7호선,126.763538,37.504631,[]
214,2756,신중동역,7호선,126.77596,37.503048,[]
215,2755,춘의역,7호선,126.787036,37.503663,[]
