bi_st_id,sub_st_id,sub_name,sub_line,sub_long,sub_lat
750,0,,,,
752,0,,,,
754,0,,,,
755,0,,,,
756,0,,,,
757,0,,,,
758,0,,,,
759,0,,,,
760,0,,,,
762,0,,,,
763,0,,,,
764,0,,,,
765,2522,오목교,5호선,126.875181,37.524496
766,4111,신목동,9호선,126.88308,37.544277
767,0,,,,
768,0,,,,
769,0,,,,
770,2521,목동,5호선,126.864931,37.526065
771,0,,,,
773,4110,염창,9호선,126.874916,37.546936
774,0,,,,
775,0,,,,
776,0,,,,
777,0,,,,
779,0,,,,
780,0,,,,
781,0,,,,
782,0,,,,
785,0,,,,
786,0,,,,
787,0,,,,
788,248,양천구청,2호선,126.865819,37.512398
790,0,,,,
791,0,,,,
792,0,,,,
793,0,,,,
794,0,,,,
795,0,,,,
796,0,,,,
797,0,,,,
800,0,,,,
802,0,,,,
803,0,,,,
805,0,,,,
806,0,,,,
807,426,서울역,4호선,126.972556,37.55281
808,1009,서빙고,경원선,126.988537,37.519594
809,0,,,,
810,0,,,,
811,2630,녹사평,6호선,126.986695,37.534675
812,0,,,,
813,428,삼각지,4호선,126.9726,37.534075
815,0,,,,
816,429,신용산,4호선,126.967894,37.52917
817,428,삼각지,4호선,126.9726,37.534075
818,0,,,,
819,1002,남영,경부선,126.9713,37.541021
820,0,,,,
822,0,,,,
823,0,,,,
825,0,,,,
826,0,,,,
827,0,,,,
828,427,숙대입구,4호선,126.972106,37.54456
829,0,,,,
830,0,,,,
831,0,,,,
832,1008,이촌,경원선,126.973406,37.522427
834,2628,효창공원앞,6호선,126.961384,37.539233
835,1002,남영,경부선,126.9713,37.541021
836,0,,,,
837,0,,,,
838,427,숙대입구,4호선,126.972106,37.54456
839,0,,,,
840,0,,,,
841,429,신용산,4호선,126.967894,37.52917
843,0,,,,
844,0,,,,
845,0,,,,
846,0,,,,
847,0,,,,
848,2629,삼각지,6호선,126.974032,37.535534
849,2629,삼각지,6호선,126.974032,37.535534
850,0,,,,
851,0,,,,
852,0,,,,
853,0,,,,
854,2632,한강진,6호선,127.001725,37.539631
855,1008,이촌,경원선,126.973406,37.522427
857,0,,,,
858,2630,녹사평,6호선,126.986695,37.534675
859,0,,,,
860,0,,,,
863,0,,,,
864,0,,,,
865,0,,,,
866,0,,,,
